Migration Rate,Year,Area Code,Area Name,Age,Total Pop
2000-2010,2015,1,Anderson,0,591
2000-2010,2015,1,Anderson,1,591
2000-2010,2015,1,Anderson,2,593
2000-2010,2015,1,Anderson,3,603
2000-2010,2015,1,Anderson,4,603
2000-2010,2015,3,Andrews,0,260
2000-2010,2015,3,Andrews,1,261
2000-2010,2015,3,Andrews,2,256
2000-2010,2015,3,Andrews,3,259
2000-2010,2015,3,Andrews,4,260
2000-2010,2015,5,Angelina,0,"1,263"
2000-2010,2015,5,Angelina,1,"1,268"
2000-2010,2015,5,Angelina,2,"1,279"
2000-2010,2015,5,Angelina,3,"1,282"
2000-2010,2015,5,Angelina,4,"1,283"
2000-2010,2015,7,Aransas,0,257
2000-2010,2015,7,Aransas,1,255
2000-2010,2015,7,Aransas,2,255
2000-2010,2015,7,Aransas,3,257
2000-2010,2015,7,Aransas,4,253
2000-2010,2015,9,Archer,0,87
2000-2010,2015,9,Archer,1,83
2000-2010,2015,9,Archer,2,83
2000-2010,2015,9,Archer,3,81
2000-2010,2015,9,Archer,4,81
2000-2010,2015,11,Armstrong,0,16
2000-2010,2015,11,Armstrong,1,16
2000-2010,2015,11,Armstrong,2,17
2000-2010,2015,11,Armstrong,3,17
2000-2010,2015,11,Armstrong,4,17
2000-2010,2015,13,Atascosa,0,697
2000-2010,2015,13,Atascosa,1,683
2000-2010,2015,13,Atascosa,2,667
2000-2010,2015,13,Atascosa,3,657
2000-2010,2015,13,Atascosa,4,654
2000-2010,2015,15,Austin,0,409
2000-2010,2015,15,Austin,1,398
2000-2010,2015,15,Austin,2,387
2000-2010,2015,15,Austin,3,383
2000-2010,2015,15,Austin,4,376
2000-2010,2015,17,Bailey,0,125
2000-2010,2015,17,Bailey,1,119
2000-2010,2015,17,Bailey,2,122
2000-2010,2015,17,Bailey,3,126
2000-2010,2015,17,Bailey,4,134
2000-2010,2015,19,Bandera,0,185
2000-2010,2015,19,Bandera,1,180
2000-2010,2015,19,Bandera,2,176
2000-2010,2015,19,Bandera,3,176
2000-2010,2015,19,Bandera,4,177
2000-2010,2015,21,Bastrop,0,"1,034"
2000-2010,2015,21,Bastrop,1,998
2000-2010,2015,21,Bastrop,2,968
2000-2010,2015,21,Bastrop,3,962
2000-2010,2015,21,Bastrop,4,957
2000-2010,2015,23,Baylor,0,38
2000-2010,2015,23,Baylor,1,37
2000-2010,2015,23,Baylor,2,37
2000-2010,2015,23,Baylor,3,35
2000-2010,2015,23,Baylor,4,36
2000-2010,2015,25,Bee,0,360
2000-2010,2015,25,Bee,1,355
2000-2010,2015,25,Bee,2,355
2000-2010,2015,25,Bee,3,349
2000-2010,2015,25,Bee,4,341
2000-2010,2015,27,Bell,0,"6,358"
2000-2010,2015,27,Bell,1,"6,310"
2000-2010,2015,27,Bell,2,"6,276"
2000-2010,2015,27,Bell,3,"6,243"
2000-2010,2015,27,Bell,4,"6,233"
2000-2010,2015,29,Bexar,0,"28,881"
2000-2010,2015,29,Bexar,1,"28,508"
2000-2010,2015,29,Bexar,2,"28,123"
2000-2010,2015,29,Bexar,3,"27,739"
2000-2010,2015,29,Bexar,4,"27,357"
2000-2010,2015,31,Blanco,0,109
2000-2010,2015,31,Blanco,1,107
2000-2010,2015,31,Blanco,2,104
2000-2010,2015,31,Blanco,3,102
2000-2010,2015,31,Blanco,4,100
2000-2010,2015,33,Borden,0,6
2000-2010,2015,33,Borden,1,6
2000-2010,2015,33,Borden,2,6
2000-2010,2015,33,Borden,3,5
2000-2010,2015,33,Borden,4,5
2000-2010,2015,35,Bosque,0,215
2000-2010,2015,35,Bosque,1,208
2000-2010,2015,35,Bosque,2,204
2000-2010,2015,35,Bosque,3,205
2000-2010,2015,35,Bosque,4,200
2000-2010,2015,37,Bowie,0,"1,166"
2000-2010,2015,37,Bowie,1,"1,157"
2000-2010,2015,37,Bowie,2,"1,151"
2000-2010,2015,37,Bowie,3,"1,145"
2000-2010,2015,37,Bowie,4,"1,169"
2000-2010,2015,39,Brazoria,0,"4,932"
2000-2010,2015,39,Brazoria,1,"4,914"
2000-2010,2015,39,Brazoria,2,"4,903"
2000-2010,2015,39,Brazoria,3,"4,928"
2000-2010,2015,39,Brazoria,4,"5,011"
